مشخصه,نام درس,مقطع کلاس,نظری,نوع عملی,نوع عملی,جنسیت,گروه کلاس,باقي مانده,ساعت کلاس,ساعت امتحان,ت امتحان,نام استاد,گروه بندی
11029,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,3,شنبـــــه11:15 09:45,00:00,"
  /  /  
",جوادي اليادراني سپيده, —— 
11031,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,1,شنبـــــه11:15 09:45,00:00,"
  /  /  
",شايگان مهر سيده مينا, —— 
11033,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,يکشنـــبه11:15 09:45,00:00,"
  /  /  
",حاج اكبري فاطمه, —— 
11035,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,يکشنـــبه11:15 09:45,00:00,"
  /  /  
",آقازاده مريم, —— 
11037,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,دوشـــنبه11:15 09:45,00:00,"
  /  /  
",حاج اكبري فاطمه, —— 
11039,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,دوشـــنبه11:15 09:45,00:00,"
  /  /  
",آقازاده مريم, —— 
11041,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,سه شنبــه11:15 09:45,00:00,"
  /  /  
",آقازاده مريم, —— 
11043,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,چهار شنبه11:15 09:45,00:00,"
  /  /  
",حاج اكبري فاطمه, —— 
11045,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,چهار شنبه11:15 09:45,00:00,"
  /  /  
",طالب تاش محمدرحيم, —— 
11028,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,شنبـــــه15:30 14:00,00:00,"
  /  /  
",حاج اكبري فاطمه, —— 
11030,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,شنبـــــه15:30 14:00,00:00,"
  /  /  
",جوادي اليادراني سپيده, —— 
11032,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,شنبـــــه15:30 14:00,00:00,"
  /  /  
",شايگان مهر سيده مينا, —— 
11034,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,يکشنـــبه15:30 14:00,00:00,"
  /  /  
",حاج اكبري فاطمه, —— 
11036,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,يکشنـــبه15:30 14:00,00:00,"
  /  /  
",آقازاده مريم, —— 
11038,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,دوشـــنبه15:30 14:00,00:00,"
  /  /  
",حاج اكبري فاطمه, —— 
11040,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,دوشـــنبه15:30 14:00,00:00,"
  /  /  
",آقازاده مريم, —— 
11042,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,1,سه شنبــه15:30 14:00,00:00,"
  /  /  
",آقازاده مريم, —— 
11044,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,2,چهار شنبه15:30 14:00,00:00,"
  /  /  
",هژبري عليرضا, —— 
11046,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,چهار شنبه15:30 14:00,00:00,"
  /  /  
",طالب تاش محمدرحيم, —— 
91368,آزمايشگاه مدارهاي الكتريكي  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,-1,يکشنـــبه17:15 15:45,00:00,"
  /  /  
",اسلامي سيد علي, —— 
91370,آزمايشگاه مدارهاي الكتريكي  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,يکشنـــبه17:15 15:45,00:00,"
  /  /  
",چوپاني قلعه رودخاني كيوان, —— 
91390,آزمايشگاه مدارهاي الكتريكي  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,يکشنـــبه15:30 14:00,00:00,"
  /  /  
",اسلامي سيد علي, —— 
91471,آزمايشگاه مدارهاي الكتريكي  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,2,چهار شنبه17:15 15:45,00:00,"
  /  /  
",امجديان محسن, —— 
91383,آزمايشگاه مهندسي نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,1,سه شنبــه09:30 08:00,00:00,"
  /  /  
",تركاشوند آتنا, —— 
11581,آشنايي بامباني دفاع مقدس  ,کارشناسي,  2,--,--,برادر, ,2,پنج شنـبه19:00 17:30 کلاس 307f,16:30,"
31/03/99
",وروائي عبدالحسين, —— 
10584,آشنايي بامباني دفاع مقدس  ,کارشناسي,  2,--,--,برادر, ,0,دوشـــنبه15:30 14:00 کلاس 3علوم,16:30,"
31/03/99
",نامي محمدرضا, —— 
11192,آمارواحتمالات مهندسي  ,کارشناسي,  3,--,--,مختلط, ,15,سه شنبــه10:15 08:00 کلاس 114b,08:00,"
04/04/99
",مغناطيسي زهرا, —— 
11194,آمارواحتمالات مهندسي  ,کارشناسي,  3,--,--,مختلط, ,0,سه شنبــه16:15 14:00 کلاس 206علوم,08:00,"
04/04/99
",خدابين مرتضي, —— 
11196,آمارواحتمالات مهندسي  ,کارشناسي,  3,--,--,مختلط, ,20,يکشنـــبه10:15 08:00 کلاس 114b,08:00,"
04/04/99
",مغناطيسي زهرا, —— 
91369,آزمايشگاه مدارهاي الكتريكي  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,شنبـــــه09:30 08:00,00:00,"
  /  /  
",الياسي علي, —— 
91371,آزمايشگاه مدارهاي الكتريكي  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,يکشنـــبه11:30 10:15,00:00,"
  /  /  
",چوپاني قلعه رودخاني كيوان, —— 
91470,آزمايشگاه مدارهاي الكتريكي  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,1,چهار شنبه15:30 14:00,00:00,"
  /  /  
",امجديان محسن, —— 
91511,آزمايشگاه مدارهاي الكتريكي  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,4,چهار شنبه11:15 09:45,00:00,"
  /  /  
",يزدان پناه گوهرريزي آرش, —— 
91384,آزمايشگاه مهندسي نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,سه شنبــه11:00 09:30,00:00,"
  /  /  
",تركاشوند آتنا, —— 
10581,آشنايي بامباني دفاع مقدس  ,کارشناسي,  2,--,--,برادر, ,0,پنج شنـبه13:00 11:30 کلاس 307f,16:30,"
31/03/99
",وروائي عبدالحسين, —— 
11619,آشنايي بامباني دفاع مقدس  ,کارشناسي,  2,--,--,برادر, ,0,چهار شنبه17:15 15:45 کلاس 4علوم,16:30,"
31/03/99
",گوديني محمدحسين, —— 
11193,آمارواحتمالات مهندسي  ,کارشناسي,  3,--,--,مختلط, ,13,سه شنبــه12:45 10:30 کلاس 114b,08:00,"
04/04/99
",مغناطيسي زهرا, —— 
11195,آمارواحتمالات مهندسي  ,کارشناسي,  3,--,--,مختلط, ,1,چهار شنبه19:00 16:30 کلاس a5,08:00,"
04/04/99
",وزيري زهره, —— 
11197,آمارواحتمالات مهندسي  ,کارشناسي,  3,--,--,مختلط, ,6,يکشنـــبه12:45 10:30 کلاس 114b,08:00,"
04/04/99
",مغناطيسي زهرا, —— 
11198,آمارواحتمالات مهندسي  ,کارشناسي,  3,--,--,مختلط, ,0,شنبـــــه16:15 14:00 کلاس 4علوم,08:00,"
04/04/99
",خدابين مرتضي, —— 
11201,آمارواحتمالات مهندسي  ,کارشناسي,  3,--,--,مختلط, ,0,چهار شنبه12:45 10:30 کلاس 4علوم,08:00,"
04/04/99
",خدابين مرتضي, —— 
91220,اصول طراحي كامپايلر  ,کارشناسي,  3,--,--,مختلط, ,6,سه شنبــه16:15 14:00 کلاس 301f,08:00,"
25/03/99
",الماسي ساناز, —— 
91222,اصول طراحي كامپايلر  ,کارشناسي,  3,--,--,مختلط, ,0,يکشنـــبه16:15 14:00 کلاس 301f,08:00,"
25/03/99
",باغباني مجتبي, —— 
91508,اصول طراحي كامپايلر  ,کارشناسي,  3,--,--,مختلط, ,0,شنبـــــه12:45 10:30 کلاس 103f,08:00,"
25/03/99
",باغباني مجتبي, —— 
91505,اقتصاد مهندسي  ,کارشناسي,  3,--,--,مختلط, ,16,دوشـــنبه19:00 16:45 کلاس 116b,14:00,"
25/03/99
",احمدي رضا, —— 
91293,اقتصاد مهندسي  ,کارشناسي,  3,--,--,مختلط, ,1,پنج شنـبه12:45 10:30 کلاس 301f,14:00,"
25/03/99
",باقري نخجوانلو بشير, —— 
91412,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",اسبقي شبنم, —— 
91414,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",باستان فرد اعظم, —— 
91416,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",خليليان مجيد, —— 
11200,آمارواحتمالات مهندسي  ,کارشناسي,  3,--,--,مختلط, ,14,شنبـــــه10:15 08:00 کلاس a6,08:00,"
04/04/99
",مغناطيسي زهرا, —— 
91219,اصول طراحي كامپايلر  ,کارشناسي,  3,--,--,مختلط, ,10,سه شنبــه10:15 08:00 کلاس 303f,08:00,"
25/03/99
",الماسي ساناز, —— 
91221,اصول طراحي كامپايلر  ,کارشناسي,  3,--,--,مختلط, ,0,شنبـــــه18:45 16:30 کلاس 102f,08:00,"
25/03/99
",باغباني مجتبي, —— 
91223,اصول طراحي كامپايلر  ,کارشناسي,  3,--,--,مختلط, ,0,يکشنـــبه18:45 16:30 کلاس 301f,08:00,"
25/03/99
",باغباني مجتبي, —— 
91514,اقتصاد مهندسي  ,کارشناسي,  3,--,--,مختلط, ,4,يکشنـــبه16:15 14:00 کلاس 6علوم,10:30,"
03/04/99
",نصيري كاشاني كاظم, —— 
91292,اقتصاد مهندسي  ,کارشناسي,  3,--,--,مختلط, ,2,پنج شنـبه10:15 08:00 کلاس 301f,14:00,"
25/03/99
",باقري نخجوانلو بشير, —— 
91294,اقتصاد مهندسي  ,کارشناسي,  3,--,--,مختلط, ,0,پنج شنـبه16:15 14:00 کلاس 301f,14:00,"
25/03/99
",باقري نخجوانلو بشير, —— 
91413,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",اميني امينه, —— 
91415,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",پيشوايي عبدالرضا, —— 
91417,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",صالحي فريبا, —— 
91418,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",صبوحي هادي, —— 
91420,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",محمدزاده جواد, —— 
91422,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",نحوي بهناز, —— 
91481,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",سرشار محمدرضا, —— 
91492,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",اسبقي شبنم, —— 
91524,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",صبوحي هادي, —— 
91485,روش پژوهش و ارائه  ,کارشناسي,  2,--,--,مختلط, ,15,دوشـــنبه17:15 15:45 کلاس 303f,14:00,"
27/03/99
",سيدمسگري شاهين, —— 
91309,روش پژوهش و ارائه  ,کارشناسي,  2,--,--,مختلط, ,1,دوشـــنبه09:30 08:00 کلاس 117b,14:00,"
27/03/99
",سيدمسگري شاهين, —— 
91311,روش پژوهش و ارائه  ,کارشناسي,  2,--,--,مختلط, ,1,دوشـــنبه13:00 11:30 کلاس 117b,14:00,"
27/03/99
",سيدمسگري شاهين, —— 
11097,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,شنبـــــه12:45 10:30 کلاس 114b,10:30,"
24/03/99
",رضابيك سعيده, —— 
91419,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",فتحي رضا, —— 
91421,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",احمدنائيني محمد, —— 
91423,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",نيك روان شلماني عليرضا, —— 
91454,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",باغباني مجتبي, —— 
91523,پروژه نرم افزار  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0, ,00:00,"
  /  /  
",اميني امينه, —— 
91484,روش پژوهش و ارائه  ,کارشناسي,  2,--,--,مختلط, ,0,دوشـــنبه15:30 14:00 کلاس 303f,14:00,"
27/03/99
",سيدمسگري شاهين, —— 
91308,روش پژوهش و ارائه  ,کارشناسي,  2,--,--,مختلط, ,0,يکشنـــبه15:30 14:00 کلاس 118b,14:00,"
27/03/99
",سيدمسگري شاهين, —— 
91310,روش پژوهش و ارائه  ,کارشناسي,  2,--,--,مختلط, ,0,دوشـــنبه11:15 09:45 کلاس 117b,14:00,"
27/03/99
",سيدمسگري شاهين, —— 
11096,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,پنج شنـبه19:00 16:30 کلاس 113b,14:00,"
24/03/99
",صمدپورخليفه محله وحيد, —— 
11098,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,شنبـــــه19:00 16:30 کلاس 114b,08:00,"
25/03/99
",وزيري زهره, —— 
11099,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,پنج شنـبه12:45 10:30 کلاس a5,16:30,"
24/03/99
",گودرزي حجت اله, —— 
11101,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,دوشـــنبه12:45 10:30 کلاس 114b,08:00,"
24/03/99
",حسيني سيدامير, —— 
11103,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,چهار شنبه12:45 10:30 کلاس a5,14:00,"
24/03/99
",فرهاد ويولت, —— 
11105,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,چهار شنبه12:45 10:30 کلاس 114b,08:00,"
25/03/99
",محمودي كليان فاطمه, —— 
11107,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,پنج شنـبه16:15 14:00 کلاس 7علوم,14:00,"
24/03/99
",شجاعي بهروز, —— 
11109,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,شنبـــــه12:45 10:30 کلاس 120b,10:30,"
24/03/99
",سالكي فائزه, —— 
11111,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,يکشنـــبه12:45 10:30 کلاس 120b,08:00,"
24/03/99
",خلفي فريبا, —— 
11113,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,دوشـــنبه19:00 16:30 کلاس 120b,16:30,"
24/03/99
",كلهر امير, —— 
11115,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,1,چهار شنبه12:45 10:30 کلاس 120b,08:00,"
25/03/99
",ميثم منتظر, —— 
11117,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,دوشـــنبه12:45 10:30 کلاس 120b,16:30,"
24/03/99
",گل گويي فرزام, —— 
11100,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,1,پنج شنـبه19:00 16:30 کلاس a5,16:30,"
24/03/99
",گودرزي حجت اله, —— 
11102,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,دوشـــنبه19:00 16:30 کلاس 114b,10:30,"
24/03/99
",رحيميان محمد, —— 
11104,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,سه شنبــه19:00 16:30 کلاس 114b,16:30,"
24/03/99
",محسني زاده محمدرضا, —— 
11106,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,چهار شنبه19:00 16:30 کلاس 114b,16:30,"
24/03/99
",فلاح پور محسن, —— 
11108,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,پنج شنـبه19:00 16:30 کلاس 114b,08:00,"
24/03/99
",پيرمحمدي سميه, —— 
11110,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,شنبـــــه19:00 16:30 کلاس 120b,10:30,"
24/03/99
",رزاقي حميد, —— 
11112,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,يکشنـــبه19:00 16:30 کلاس 120b,08:00,"
25/03/99
",يوسفي مهدي, —— 
11114,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,سه شنبــه12:45 10:30 کلاس 120b,14:00,"
24/03/99
",عزيزي رزا, —— 
11116,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,چهار شنبه19:00 16:30 کلاس 120b,08:00,"
24/03/99
",پيرمحمدي سميه, —— 
10096,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,پنج شنـبه16:15 14:00 کلاس 113b,14:00,"
24/03/99
",صمدپورخليفه محله وحيد, —— 
10099,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,پنج شنـبه10:15 08:00 کلاس a5,16:30,"
24/03/99
",گودرزي حجت اله, —— 
10101,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,دوشـــنبه10:15 08:00 کلاس 114b,08:00,"
24/03/99
",حسيني سيدامير, —— 
10103,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,چهار شنبه10:15 08:00 کلاس a5,14:00,"
24/03/99
",فرهاد ويولت, —— 
10106,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,1,چهار شنبه16:15 14:00 کلاس 120b,16:30,"
24/03/99
",فلاح پور محسن, —— 
10110,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,شنبـــــه16:15 14:00 کلاس 120b,10:30,"
24/03/99
",رزاقي حميد, —— 
10114,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,سه شنبــه10:15 08:00 کلاس 120b,14:00,"
24/03/99
",عزيزي رزا, —— 
10117,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,دوشـــنبه10:15 08:00 کلاس 120b,16:30,"
24/03/99
",گل گويي فرزام, —— 
10119,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,دوشـــنبه10:15 08:00 کلاس a3,10:30,"
24/03/99
",رضابيك سعيده, —— 
10121,رياضي عمومي 1  ,کارشناسي,  3,--,--,مختلط, ,0,دوشـــنبه10:15 08:00 کلاس 107f,16:30,"
24/03/99
",كاظمي متين رضا, —— 
10124,رياضي عمومي 2  ,کارشناسي,  3,--,--,مختلط, ,0,شنبـــــه16:15 14:00 کلاس 111b,16:30,"
29/03/99
",ميروكيلي منيرالسادات, —— 
